id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
72,1,-2.29,-0.009,-4909.245865821838,2137.8374623037575,-1072047.2681926552,3181.1431288088097,713271.3059165166,2856.6148945896275,6006276410.800244,1008.6062037385973,1045000,0,2330852548722036,7800793854953.611,0,0,6006130146.216723,6006108346.023917,6006148919.498368,6006375650.287859,6006354924.412549,6006398129.7172365
73,1,-2.28,-0.009,-10539.185651779175,2146.767492104019,-1085968.1283462683,3192.959333664397,708263.4284784127,3020.322117692118,6006276296.371393,1066.4371093842535,1045000,0,2336324397949570.5,7963201574466.232,0,0,6006124505.305824,6006109009.491166,6006139995.672383,,,
74,1,-2.27,-0.009,-8587.537808418274,2311.559935312282,-1091498.21067865,3454.0912013476445,724946.686736105,2867.538713246803,6006270249.212722,1012.3979651425502,1045000,0,2346249256982294.5,8441514750778.992,0,0,6006172775.097805,6006153589.668978,6006191717.466768,,,
75,1,-2.26,-0.009,-16212.083671569824,2250.809613736313,-1130145.454605222,3369.0249457105397,715600.3353820709,2950.215524634535,6006260496.903382,1041.6452280925366,1045000,0,2359566725153476,8297557431917.959,0,0,6006172722.4223795,6006161849.588285,6006183568.143479,,,
76,1,-2.25,-0.009,-4355.793112754822,2478.6532313458815,-1168370.5482477676,3728.686089586008,699239.4352816615,2994.1186063896594,6006262052.068754,1057.240475735219,1045000,0,2387882045207307,8346699984956.099,0,0,6006244577.709068,6006234855.624408,6006254450.897409,,,
77,1,-2.24,-0.009,3572.663384437561,2509.498836049068,-1181716.5283831807,3780.2969102851407,698409.0672350829,3028.9119916613718,6006281265.838764,1069.525916081343,1045000,0,2365191690949890.5,8797491642693.809,0,0,6006293664.25775,6006285124.70663,6006302196.006036,,,
78,1,-2.23,-0.009,-9840.471291542053,2321.0240574955183,-1193291.8470442935,3495.7295217352116,705672.3084473255,2981.8234204875957,6006273701.146648,1052.8593612992177,1045000,0,2381117768933388.5,9094623876997.637,0,0,6006245127.120037,6006238448.3954115,6006252108.344968,,,
79,1,-2.22,-0.009,-11787.894306182861,2384.5763649998908,-1214828.672749931,3601.358590380605,696893.644233937,2953.469840636584,6006268990.380039,1042.8984868246573,1045000,0,2325257463313690.5,8535531131327.488,0,0,6006239253.861088,6006233128.15032,6006245331.139847,,,
80,1,-2.21,-0.009,-18478.212728500366,2210.3053055741207,-1238438.0308893647,3340.9217180904943,704702.6907577872,2917.9558882808565,6006267629.297638,1030.3152442380172,1045000,0,2294944400809106,8605956474751.913,0,0,6006230059.491875,6006225450.689681,6006234679.135604,,,
81,1,-2.2,-0.009,-1054.7953643798828,2694.2289967939764,-1272326.7658159721,4111.005885065934,706491.6077178024,2907.0056932532284,6006288085.65207,1026.433306867254,1045000,0,2399672741944939.5,9179802050694.979,0,0,6006286319.6502285,6006281687.2922,6006290860.084922,,,
